2024-03-26 16:58:34.868 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-03-26 16:58:34.900 [main] INFO  c.e.shopapp.ShopappApplication - Starting ShopappApplication using Java 17.0.10 with PID 4296 (E:\WorkSpace\Udemy\Project\shopapp\shopapp\target\classes started by QuyetNM in E:\WorkSpace\Udemy\Project\shopapp\shopapp)
2024-03-26 16:58:34.901 [main] INFO  c.e.shopapp.ShopappApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-26 16:58:35.662 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-26 16:58:35.722 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 54 ms. Found 7 JPA repository interfaces.
2024-03-26 16:58:36.156 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2024-03-26 16:58:36.161 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-03-26 16:58:36.163 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-26 16:58:36.163 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-26 16:58:36.230 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-26 16:58:36.231 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1296 ms
2024-03-26 16:58:36.331 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-26 16:58:36.371 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.22.Final
2024-03-26 16:58:36.374 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-03-26 16:58:36.584 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-26 16:58:36.604 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-26 16:58:36.715 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@37e55819
2024-03-26 16:58:36.717 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-26 16:58:36.748 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-03-26 16:58:36.749 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-03-26 16:58:37.574 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-03-26 16:58:37.576 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-26 16:58:37.862 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-03-26 16:58:37.972 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-03-26 16:58:38.658 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@56803e70, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@f4dcd0d, org.springframework.security.web.context.SecurityContextHolderFilter@48dbf9d, org.springframework.security.web.header.HeaderWriterFilter@399dc033, org.springframework.web.filter.CorsFilter@13b52853, org.springframework.security.web.authentication.logout.LogoutFilter@1cc00f56, com.ecommerce.shopapp.filters.JwtTokenFilter@677d4cea, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5ca012a6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1eb21f22, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1a89d045, org.springframework.security.web.access.ExceptionTranslationFilter@1e275478, org.springframework.security.web.access.intercept.AuthorizationFilter@2bfe51d5]
2024-03-26 16:58:38.831 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-03-26 16:58:38.850 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2024-03-26 16:58:38.856 [main] INFO  c.e.shopapp.ShopappApplication - Started ShopappApplication in 4.254 seconds (process running for 5.051)
2024-03-26 16:59:11.819 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-03-26 16:59:11.820 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-03-26 16:59:11.826 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-03-26 17:01:57.685 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-03-26 17:01:57.763 [main] INFO  c.e.shopapp.ShopappApplication - Starting ShopappApplication using Java 17.0.10 with PID 2260 (E:\WorkSpace\Udemy\Project\shopapp\shopapp\target\classes started by QuyetNM in E:\WorkSpace\Udemy\Project\shopapp\shopapp)
2024-03-26 17:01:57.765 [main] INFO  c.e.shopapp.ShopappApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-26 17:01:58.446 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-26 17:01:58.514 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 61 ms. Found 7 JPA repository interfaces.
